,,,Price/quantity,,,,,,,,,,,,,,,Qty,,,price per,,,,,,,,,ext price,,,,,,,,
Description,Name,Qty/system,1,5,10,25,50,100,500,1000,Link,,,,,,,10,,,1,5,10,25,50,100,500,1000,,1,5,10,25,50,100,500,1000,best value
400 mAh Battery,PRT-13851,1,4.95,,,,,,,,https://www.digikey.com/product-detail/en/sparkfun-electronics/PRT-13851/1568-1493-ND/6605199,https://www.sparkfun.com/products/13851,,,,,,,,10,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,,100000000,100000000,4.95,12.375,24.75,49.5,247.5,495,4.95
3 segment screen,VI-321-DP-RC-S,1,6.3,,5.25,,,3.68,3.045,2.793,https://www.digikey.com/product-detail/en/varitronix/VI-321-DP-RC-S/153-1101-ND/531266,,,,,,,,,10,6.3,6.3,5.25,5.25,5.25,3.68,3.045,2.793,,100000000,100000000,5.25,13.125,26.25,36.8,152.25,279.3,5.25
USB header,USB4110-GF-A,1,1.37,,1.25,1.69,1.12,1.067,0.88936,,https://www.digikey.com/product-detail/en/gct/USB4110-GF-A/2073-USB4110-GF-A-1-ND/10384548,,,,,,,,,10,1.37,1.37,1.25,1.69,1.12,1.067,0.88936,0.88936,,100000000,100000000,1.25,4.225,5.6,10.67,44.468,88.936,1.25
200g accel,H3LIS200DLTR,1,7.34,,6.63,6.34,,5.49,4.78252,4.16543,https://www.digikey.com/product-detail/en/stmicroelectronics/H3LIS200DLTR/497-15698-1-ND/5267984,,,,,,,,,10,7.34,7.34,6.63,6.34,6.34,5.49,4.78252,4.16543,,100000000,100000000,6.63,15.85,31.7,54.9,239.126,416.543,6.63
SAML21J,ATSAML21J16B-AUT,1,3.32,,,3.02,,2.73,,,https://www.digikey.com/product-detail/en/microchip-technology/ATSAML21J16B-AUT/ATSAML21J16B-AUTCT-ND/5702310,,,,,,,,,10,3.32,3.32,3.32,3.02,3.02,2.73,2.73,2.73,,100000000,100000000,3.32,7.55,15.1,27.3,136.5,273,3.32
PMIC/LDO,BQ25155YFPT,1,3.31,,2.98,2.81,,2.31,,,https://www.digikey.com/product-detail/en/texas-instruments/BQ25155YFPT/296-BQ25155YFPTCT-ND/10435202,,,,,,,,,10,3.31,3.31,2.98,2.81,2.81,2.31,2.31,2.31,,100000000,100000000,2.98,7.025,14.05,23.1,115.5,231,2.98
1 uF 0402 ,CC0402KRX5R5BB105,2,0.1,,0.047,,,0.021,0.01502,0.0118,https://www.digikey.com/product-detail/en/yageo/CC0402KRX5R5BB105/311-1438-6-ND/2833887,,,,,,,,,20,0.1,0.1,0.047,0.047,0.047,0.021,0.01502,0.0118,,100000000,100000000,100000000,0.1175,0.235,0.21,0.751,1.18,0.1175
22 uF 0805,CL21A226MQQNNNE,3,0.18,,0.121,,,0.061,0.04204,0.03719,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A226MQQNNNE/1276-1100-6-ND/3891614,,,,,,,,,30,0.18,0.18,0.121,0.121,0.121,0.061,0.04204,0.03719,,100000000,100000000,100000000,100000000,0.605,0.61,2.102,3.719,0.605
100 nF 0402,CL05B104KO5NNNC,3,0.1,,0.024,,,0.011,0.00766,0.00602,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL05B104KO5NNNC/1276-1001-6-ND/3891515,,,,,,,,,30,0.1,0.1,0.024,0.024,0.024,0.011,0.00766,0.00602,,100000000,100000000,100000000,100000000,0.12,0.11,0.383,0.602,0.11
10 uH 0805,LBR2012T100K,1,0.14,,0.13,,,0.086,0.07188,0.06038,https://www.digikey.com/product-detail/en/taiyo-yuden/LBR2012T100K/587-2045-6-ND/1789050,,,,,,,,,10,0.14,0.14,0.13,0.13,0.13,0.086,0.07188,0.06038,,100000000,100000000,0.13,0.325,0.65,0.86,3.594,6.038,0.13
10k 0402,RC0402FR-0710KL,5,0.1,,0.016,,,0.0064,,0.00289,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0710KL/311-10.0KLRDKR-ND/732417,,,,,,,,,50,0.1,0.1,0.016,0.016,0.016,0.0064,0.0064,0.00289,,100000000,100000000,100000000,100000000,0.08,0.064,0.32,0.289,0.064
56k 0402,RC0402FR-0756KL,2,0.1,,0.016,,,0.0064,,0.00289,https://www.digikey.com/product-detail/en/yageo/RC0402FR-0756KL/311-56.0KLRDKR-ND/732529,,,,,,,,,20,0.1,0.1,0.016,0.016,0.016,0.0064,0.0064,0.00289,,100000000,100000000,100000000,0.04,0.08,0.064,0.32,0.289,0.04
10k Thermistor 0402,NCP15XH103F03RC,1,0.14,0.134,0.12,0.11,0.08,0.076,0.0663,0.05683,https://www.digikey.com/product-detail/en/murata-electronics/NCP15XH103F03RC/490-4801-6-ND/1644692,,,,,,,,,10,0.14,0.134,0.12,0.11,0.08,0.076,0.0663,0.05683,,100000000,100000000,0.12,0.275,0.4,0.76,3.315,5.683,0.12
PCB,AllPCB 27 * 40 mm,1,5,1,0.7,0.32,0.28,0.17,,,https://www.allpcb.com/online_pcb_quote.html,,,,,,,,,10,5,1,0.7,0.32,0.28,0.17,0.17,0.17,,100000000,100000000,0.7,0.8,1.4,1.7,8.5,17,0.7
PCBA,"100 SMT, 11 BOM",1,88.31,17.662,9.338,4.0544,3.1272,2.52,,,https://www.allpcb.com/pcba_quote.html,,,,,,,,,10,88.31,17.662,9.338,4.0544,3.1272,2.52,2.52,2.52,,100000000,100000000,9.338,10.136,15.636,25.2,126,252,9.338
Resin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Silicone,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6045
